KAZ_ADJ;Kazahk;Kazahk;Kazahk;;;;;;;;;;;x;
KAZ;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_proletarian_dictatorship;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_presidential_dictatorship;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_bourgeois_dictatorship;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_fascist_dictatorship;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_absolute_monarchy;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_prussian_constitutionalism;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_hms_government;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_democracy;Kazahkstan;Kazahkstan;Kazahkstan;;;;;;;;;;;x;
KAZ_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KAZ_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
KAZ_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KAZ_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KAZ_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
KAZ_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
KAZ_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KAZ_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KAZ_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
