HGE_ADJ;German;German;German;;;;;;;;;;;x;
HGE;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_proletarian_dictatorship;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_presidential_dictatorship;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_bourgeois_dictatorship;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_fascist_dictatorship;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_absolute_monarchy;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_prussian_constitutionalism;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_hms_government;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_democracy;Heydrich's Germany;Heydrich's Germany;Heydrich's Germany;;;;;;;;;;;x;
HGE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
HGE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
HGE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
HGE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
HGE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
HGE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
HGE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
HGE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
HGE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
