EIC_ADJ;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_proletarian_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_presidential_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_bourgeois_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_fascist_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_absolute_monarchy;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_prussian_constitutionalism;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_hms_government;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_democracy;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x;
EIC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
EIC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
EIC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
EIC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
EIC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
EIC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
EIC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
EIC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
EIC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
